target,feature,mean_abs_shap
Magnitude,age,0.07915623088198202
Magnitude,HCDA,0.0317100658154448
Magnitude,AL2,0.025960528544230487
Magnitude,PCT135,0.02283101560376333
Magnitude,AL1,0.0179757833385421
Magnitude,ARTh,0.014668246348820201
Magnitude,eye_binary,0.014596367984372376
Magnitude,CCT,0.013263061019180155
Magnitude,IR,0.009217499995633637
Magnitude,SPA1,0.00874724219463251
Magnitude,AV2,0.007204948417021486
Magnitude,CBiF,0.007086896709755461
Magnitude,WTW,0.006946180864232149
Magnitude,bIOP,0.006568920124454166
Magnitude,SSI,0.004683438988056269
Magnitude,AL,0.004524183482357802
Magnitude,DA_Ratio,0.004484896719026208
Magnitude,AV1,0.0044315491071762894
Magnitude,IOPnc,0.003467501974118752
Magnitude,HCR,0.003395469082945971
Magnitude,PD,0.0027023045787963507
Magnitude,sex_binary,0.0018488146618688662
Magnitude,CBI,0.00099762883360962
J0,eye_binary,0.13647791712023535
J0,AL,0.03928325642093283
J0,HCDA,0.028201598126133265
J0,AV2,0.024142276440024545
J0,sex_binary,0.022482629899270714
J0,WTW,0.019870320505672
J0,AL2,0.017482131301988627
J0,HCR,0.012118912287391828
J0,AL1,0.011963840094369897
J0,AV1,0.011924745640153356
J0,age,0.007001979109018266
J0,ARTh,0.006838246832778714
J0,DA_Ratio,0.00668294896880108
J0,SPA1,0.006399701504847322
J0,PCT135,0.00597098182490421
J0,CBiF,0.005943549285424961
J0,PD,0.004945650261829193
J0,IR,0.004490761998699549
J0,IOPnc,0.003775872031424157
J0,SSI,0.003569416186179456
J0,CCT,0.0034641532030280663
J0,bIOP,0.002475982216011809
J0,CBI,0.001166908041533151
J45,eye_binary,0.041407725831448916
J45,age,0.029443459832431764
J45,WTW,0.02565259357501904
J45,SSI,0.02354068476547609
J45,ARTh,0.022089457705275328
J45,AL1,0.01826539560466156
J45,AL,0.018004953834868016
J45,sex_binary,0.01663098921750998
J45,CBiF,0.013958881751866204
J45,IR,0.011779332102654595
J45,PCT135,0.011493971110110197
J45,AL2,0.00986360515225624
J45,SPA1,0.00715252209593772
J45,PD,0.006759223290213563
J45,bIOP,0.0064845558895894025
J45,DA_Ratio,0.006416853747097736
J45,HCR,0.006210358005612991
J45,CCT,0.005630239641447026
J45,HCDA,0.004953942340373633
J45,AV2,0.004768974477464317
J45,AV1,0.0038142082935513906
J45,IOPnc,0.0016585878729355624
J45,CBI,0.000999646066251739
