interaction,target,R2_base,R2_interaction,delta_R2
Age x Eye,Magnitude,-0.05692162631728826,-0.054464715224797455,0.002456911092490806
Age x Eye,J0,0.04779764770522661,0.047913663028360594,0.00011601532313398194
Age x Eye,J45,-0.056296644983930846,-0.06315125968245527,-0.006854614698524428
Age x IR,Magnitude,-0.07452690938269722,-0.082910256851135,-0.008383347468437774
Age x IR,J0,-0.04679358817748612,-0.04679358817748612,0.0
Age x IR,J45,-0.07785699765584814,-0.07775455034203745,0.00010244731381069128
Age x DA Ratio,Magnitude,-0.07286577017608066,-0.07800836402603319,-0.005142593849952526
Age x DA Ratio,J0,-0.0529950482723268,-0.048604810095982366,0.004390238176344437
Age x DA Ratio,J45,-0.07366000805870805,-0.08189905696450234,-0.008239048905794286
Eye x HCDA,Magnitude,-0.10013052034781043,-0.10154646041351648,-0.0014159400657060423
Eye x HCDA,J0,0.058567604550534696,0.059019843431299845,0.00045223888076514895
Eye x HCDA,J45,-0.07162154534948986,-0.07273748332170338,-0.0011159379722135154
Eye x IR,Magnitude,-0.10945945543456558,-0.11051369390291116,-0.0010542384683455835
Eye x IR,J0,0.047058520305474326,0.04898227789874911,0.0019237575932747816
Eye x IR,J45,-0.06437065311816235,-0.06898156485216575,-0.004610911734003395
PCT135/CCT ratio,Magnitude,-0.1141063742252023,-0.11326638945903814,0.0008399847661641618
PCT135/CCT ratio,J0,-0.04679358817748612,-0.04679358817748612,0.0
PCT135/CCT ratio,J45,-0.10176413683562488,-0.13030546992397138,-0.0285413330883465
